,Sales,Quantity,Discount,Profit,First Class,Same Day,Second Class,Standard Class,Consumer,Corporate,Home Office,Central,East,South,West,Furniture,Office Supplies,Technology
71,19.05,3,0.0,8.763,0,0,1,0,1,0,0,1,0,0,0,0,1,0
72,831.936,8,0.2,-114.3912,0,0,0,1,1,0,0,0,0,1,0,1,0,0
73,97.04,2,0.2,1.213,0,0,0,1,1,0,0,0,0,1,0,1,0,0
74,72.784,1,0.2,-18.196,0,0,0,1,1,0,0,0,0,1,0,0,1,0
75,1.248,3,0.8,-1.9344,1,0,0,0,0,1,0,1,0,0,0,0,1,0
76,9.708,3,0.6,-5.8248,1,0,0,0,0,1,0,1,0,0,0,1,0,0
77,27.24,3,0.2,2.724,1,0,0,0,0,1,0,1,0,0,0,0,1,0
78,19.3,5,0.6,-14.475,0,0,1,0,1,0,0,1,0,0,0,1,0,0
79,208.16,1,0.0,56.2032,1,0,0,0,0,1,0,0,0,1,0,0,1,0
80,16.74,3,0.0,8.0352,1,0,0,0,0,1,0,0,0,1,0,0,1,0
81,14.9,5,0.0,4.172,0,0,0,1,1,0,0,0,0,0,1,0,1,0
82,21.39,1,0.0,6.2031,0,0,0,1,1,0,0,0,0,0,1,0,1,0
83,200.984,7,0.2,62.8075,0,0,0,1,0,1,0,0,0,1,0,0,1,0
84,230.376,3,0.2,-48.9549,1,0,0,0,0,0,1,1,0,0,0,0,1,0
85,301.96,2,0.0,33.2156,0,0,1,0,1,0,0,0,0,1,0,1,0,0
86,19.99,1,0.0,6.7966,0,0,0,1,1,0,0,1,0,0,0,0,0,1
87,6.16,2,0.0,2.9568,0,0,0,1,1,0,0,1,0,0,0,0,1,0
88,158.368,7,0.2,13.8572,0,0,1,0,0,0,1,1,0,0,0,0,1,0
89,20.1,3,0.0,6.633,0,0,0,1,0,1,0,0,0,0,1,0,1,0
90,73.584,2,0.2,8.2782,0,0,0,1,0,1,0,0,0,0,1,0,0,1
91,6.48,1,0.0,3.1104,0,0,0,1,0,1,0,0,0,0,1,0,1,0
92,12.96,2,0.0,6.2208,0,0,1,0,1,0,0,1,0,0,0,0,1,0
93,53.34,3,0.0,16.5354,0,0,1,0,1,0,0,1,0,0,0,1,0,0
94,32.96,2,0.0,16.1504,0,0,1,0,1,0,0,1,0,0,0,0,1,0
95,5.682,1,0.7,-3.788,0,0,0,1,0,0,1,0,0,0,1,0,1,0
96,96.53,7,0.0,40.5426,0,0,1,0,0,0,1,0,1,0,0,1,0,0
97,51.312,3,0.2,17.9592,1,0,0,0,1,0,0,0,0,0,1,0,1,0
98,77.88,6,0.0,22.5852,0,0,0,1,0,1,0,1,0,0,0,0,1,0
99,64.624,7,0.2,22.6184,0,0,0,1,0,0,1,1,0,0,0,0,1,0
100,95.976,3,0.2,-10.7973,0,0,0,1,0,0,1,1,0,0,0,0,0,1
101,1.788,3,0.8,-3.0396,0,0,0,1,0,0,1,1,0,0,0,0,1,0
102,23.92,4,0.0,11.7208,0,0,1,0,1,0,0,1,0,0,0,0,1,0
103,238.896,6,0.2,-26.8758,0,0,0,1,1,0,0,0,0,0,1,0,0,1
104,102.36,3,0.2,-3.8385,0,0,0,1,1,0,0,0,0,0,1,1,0,0
105,36.882,3,0.7,-25.8174,0,0,0,1,1,0,0,0,0,0,1,0,1,0
106,74.112,8,0.2,17.6016,0,0,0,1,1,0,0,0,0,1,0,0,0,1
107,27.992,1,0.2,2.0994,0,0,0,1,1,0,0,0,0,1,0,0,0,1
108,3.304,1,0.2,1.0738,0,0,0,1,1,0,0,0,0,1,0,0,1,0
109,339.96,5,0.2,67.992,0,0,0,1,0,0,1,1,0,0,0,0,0,1
110,41.96,2,0.0,10.9096,0,0,0,1,0,1,0,0,1,0,0,1,0,0
111,75.96,2,0.0,22.788,0,0,0,1,1,0,0,1,0,0,0,0,1,0
112,27.24,6,0.0,13.3476,0,0,0,1,1,0,0,1,0,0,0,0,1,0
113,40.096,14,0.2,14.5348,0,0,1,0,1,0,0,0,1,0,0,0,1,0
114,4.72,2,0.2,1.652,0,0,1,0,1,0,0,0,1,0,0,0,1,0
115,23.976,3,0.2,7.4925,0,0,1,0,1,0,0,0,1,0,0,0,1,0
116,130.464,6,0.2,44.0316,0,0,1,0,1,0,0,0,1,0,0,0,1,0
117,787.53,3,0.0,165.3813,0,0,0,1,1,0,0,0,0,0,1,1,0,0
118,157.794,1,0.7,-115.7156,0,0,0,1,0,1,0,0,0,1,0,0,1,0
119,47.04,3,0.0,18.3456,1,0,0,0,1,0,0,0,1,0,0,1,0,0
120,30.84,4,0.0,13.878,1,0,0,0,1,0,0,0,1,0,0,0,1,0
121,226.56,6,0.0,63.4368,1,0,0,0,1,0,0,0,1,0,0,0,1,0
122,115.02,9,0.0,51.759,1,0,0,0,1,0,0,0,1,0,0,0,1,0
123,68.04,7,0.0,19.7316,1,0,0,0,1,0,0,0,1,0,0,0,0,1
124,600.558,3,0.3,-8.5794,0,0,1,0,0,0,1,1,0,0,0,1,0,0
125,617.7,6,0.5,-407.682,0,0,0,1,1,0,0,1,0,0,0,1,0,0
126,2.388,2,0.7,-1.8308,0,0,0,1,1,0,0,0,0,0,1,0,1,0
127,243.992,7,0.2,30.499,0,0,0,1,1,0,0,0,0,0,1,0,1,0
128,81.424,2,0.2,-9.1602,0,0,1,0,0,0,1,0,0,0,1,1,0,0
129,238.56,3,0.0,26.2416,0,0,1,0,0,0,1,0,0,0,1,1,0,0
130,59.97,5,0.4,-11.994,1,0,0,0,0,1,0,0,1,0,0,0,0,1
131,78.304,2,0.2,29.364,1,0,0,0,0,1,0,0,1,0,0,0,1,0
132,21.456,9,0.2,6.9732,1,0,0,0,0,1,0,0,1,0,0,0,1,0
133,20.04,3,0.0,9.6192,0,0,0,1,1,0,0,0,0,0,1,0,1,0
134,35.44,1,0.0,16.6568,0,0,0,1,1,0,0,0,0,0,1,0,1,0
135,11.52,4,0.0,3.456,0,0,0,1,1,0,0,0,0,0,1,0,1,0
136,4.02,2,0.0,1.9698,0,0,0,1,1,0,0,0,0,0,1,0,1,0
137,76.176,3,0.2,26.6616,0,0,0,1,1,0,0,0,0,0,1,0,1,0
138,65.88,6,0.0,18.4464,0,0,0,1,1,0,0,0,0,0,1,0,1,0
139,43.12,14,0.0,20.6976,0,0,0,1,1,0,0,0,0,0,1,1,0,0
140,82.8,2,0.2,10.35,0,0,1,0,0,1,0,0,1,0,0,1,0,0
141,8.82,3,0.0,2.3814,0,0,0,1,0,1,0,0,0,0,1,0,1,0
142,10.86,3,0.0,5.1042,0,0,0,1,0,1,0,0,0,0,1,0,1,0
143,143.7,3,0.0,68.976,0,0,0,1,0,1,0,0,0,0,1,0,1,0
144,839.43,3,0.0,218.2518,0,0,0,1,1,0,0,1,0,0,0,0,1,0
145,671.93,7,0.0,20.1579,0,0,0,1,1,0,0,0,0,0,1,0,1,0
146,93.888,4,0.2,12.9096,0,0,0,1,0,0,1,0,1,0,0,1,0,0
147,384.45,11,0.0,103.8015,0,0,0,1,0,1,0,1,0,0,0,0,0,1
148,149.97,3,0.0,5.9988,0,0,0,1,0,1,0,1,0,0,0,0,0,1
149,1951.84,8,0.0,585.552,0,0,0,1,0,1,0,1,0,0,0,1,0,0
150,171.55,5,0.0,80.6285,0,0,0,1,0,1,0,1,0,0,0,0,1,0
151,157.92,5,0.2,17.766,1,0,0,0,0,0,1,0,0,0,1,0,1,0
152,203.184,2,0.2,15.2388,1,0,0,0,0,0,1,0,0,0,1,0,0,1
153,58.38,7,0.0,26.271,1,0,0,0,0,1,0,0,0,0,1,0,1,0
154,105.52,4,0.0,48.5392,1,0,0,0,0,1,0,0,0,0,1,0,1,0
155,80.88,6,0.0,21.0288,1,0,0,0,0,1,0,0,0,0,1,0,1,0
156,6.63,3,0.0,1.7901,0,0,0,1,0,0,1,0,0,0,1,0,1,0
157,457.568,2,0.2,51.4764,0,0,1,0,1,0,0,0,0,0,1,1,0,0
158,14.62,2,0.0,6.8714,0,0,0,1,1,0,0,1,0,0,0,0,1,0
159,944.93,7,0.0,236.2325,0,0,0,1,1,0,0,1,0,0,0,0,0,1
160,5.98,1,0.0,2.691,1,0,0,0,1,0,0,0,0,0,1,0,1,0
161,54.384,2,0.2,1.3596,0,0,1,0,1,0,0,0,1,0,0,0,0,1
162,28.4,5,0.0,13.348,0,0,0,1,1,0,0,0,0,0,1,0,1,0
163,27.68,2,0.2,9.688,0,0,0,1,1,0,0,0,0,0,1,0,1,0
164,9.936,3,0.2,2.7324,0,0,0,1,1,0,0,1,0,0,0,0,1,0
165,8159.952,8,0.4,-1359.992,0,0,0,1,1,0,0,1,0,0,0,0,0,1
166,275.928,3,0.2,-58.6347,0,0,0,1,1,0,0,1,0,0,0,0,1,0
167,1740.06,9,0.3,-24.858,0,0,0,1,1,0,0,1,0,0,0,1,0,0
168,32.064,6,0.2,6.8136,0,0,0,1,1,0,0,1,0,0,0,0,1,0
169,177.98,5,0.8,-453.849,0,0,0,1,1,0,0,1,0,0,0,0,1,0
170,143.976,3,0.2,8.9985,0,0,0,1,1,0,0,1,0,0,0,0,0,1
171,20.94,3,0.0,9.8418,0,0,0,1,1,0,0,0,0,0,1,0,1,0
172,110.96,2,0.0,53.2608,0,0,0,1,1,0,0,0,0,0,1,0,1,0
173,340.144,7,0.2,21.259,0,0,0,1,1,0,0,0,0,0,1,1,0,0
174,52.448,2,0.8,-131.12,0,0,0,1,0,1,0,1,0,0,0,0,1,0
175,20.16,4,0.2,6.552,0,0,0,1,0,1,0,1,0,0,0,0,1,0
176,97.264,4,0.8,-243.16,0,0,1,0,1,0,0,1,0,0,0,0,1,0
177,396.802,7,0.3,-11.3372,0,0,1,0,1,0,0,0,1,0,0,1,0,0
178,15.88,5,0.2,-3.7715,0,0,1,0,1,0,0,0,1,0,0,0,1,0
179,3.28,1,0.0,1.4104,0,0,0,1,0,0,1,0,1,0,0,0,1,0
180,24.816,2,0.2,1.8612,0,0,1,0,0,1,0,1,0,0,0,0,1,0
181,408.744,7,0.2,76.6395,0,0,1,0,0,1,0,1,0,0,0,0,0,1
182,503.96,4,0.0,131.0296,0,0,1,0,0,0,1,0,0,1,0,0,0,1
183,149.95,5,0.0,41.986,0,0,1,0,0,0,1,0,0,1,0,0,0,1
184,29.0,2,0.0,7.25,0,0,1,0,0,0,1,0,0,1,0,0,0,1
185,7.16,2,0.0,3.4368,0,0,0,1,1,0,0,0,1,0,0,0,1,0
186,176.8,8,0.0,22.984,0,0,0,1,0,0,1,0,0,0,1,0,0,1
187,37.224,3,0.2,3.7224,0,0,0,1,0,1,0,1,0,0,0,0,1,0
188,20.016,3,0.2,6.255,0,0,0,1,0,1,0,1,0,0,0,0,1,0
189,899.136,4,0.2,112.392,1,0,0,0,0,0,1,0,1,0,0,1,0,0
190,71.76,6,0.0,20.0928,1,0,0,0,0,0,1,0,1,0,0,0,0,1
191,51.84,8,0.0,24.8832,1,0,0,0,0,0,1,0,1,0,0,0,1,0
192,626.352,3,0.2,46.9764,1,0,0,0,0,0,1,0,1,0,0,1,0,0
193,19.9,5,0.0,6.567,1,0,0,0,0,0,1,0,1,0,0,0,1,0
194,14.28,7,0.0,6.7116,0,0,0,1,0,1,0,0,0,0,1,0,1,0
195,7.408,2,0.2,1.2038,0,0,0,1,1,0,0,0,1,0,0,0,1,0
196,6.048,3,0.2,1.5876,0,0,0,1,1,0,0,0,1,0,0,0,1,0
197,46.26,3,0.0,12.0276,0,0,0,1,0,0,1,0,1,0,0,0,1,0
198,2.946,2,0.7,-2.2586,0,0,0,1,0,1,0,0,1,0,0,0,1,0
199,16.056,3,0.2,5.8203,0,0,0,1,0,1,0,0,1,0,0,0,1,0
200,21.744,3,0.2,6.795,0,0,0,1,1,0,0,0,1,0,0,0,1,0
201,218.75,2,0.5,-161.875,1,0,0,0,1,0,0,0,0,0,1,1,0,0
202,2.6,1,0.2,0.2925,1,0,0,0,1,0,0,0,0,0,1,0,1,0
203,66.284,2,0.8,-178.9668,0,0,1,0,1,0,0,1,0,0,0,0,1,0
204,35.168,7,0.2,9.6712,0,0,0,1,0,1,0,0,0,1,0,1,0,0
205,444.768,4,0.2,44.4768,0,0,0,1,1,0,0,0,0,0,1,0,0,1
206,83.92,4,0.0,5.8744,0,0,0,1,1,0,0,1,0,0,0,0,1,0
207,131.98,2,0.0,35.6346,0,0,0,1,1,0,0,1,0,0,0,0,0,1
208,15.92,4,0.0,7.4824,0,0,0,1,1,0,0,1,0,0,0,0,1,0
209,52.29,9,0.0,16.2099,0,0,0,1,1,0,0,1,0,0,0,0,1,0
210,91.99,1,0.0,3.6796,0,0,0,1,1,0,0,1,0,0,0,0,1,0
211,20.8,2,0.2,6.5,0,0,1,0,0,1,0,1,0,0,0,0,0,1
212,23.68,2,0.2,8.88,0,0,0,1,0,1,0,0,1,0,0,0,1,0
213,452.45,5,0.5,-244.323,0,0,0,1,0,1,0,0,1,0,0,1,0,0
214,62.982,3,0.4,-14.6958,0,0,0,1,0,1,0,0,1,0,0,0,0,1
215,1188.0,9,0.7,-950.4,0,0,0,1,0,1,0,0,1,0,0,0,0,1
216,89.584,2,0.2,4.4792,0,0,0,1,0,1,0,0,1,0,0,0,0,1
217,93.06,6,0.0,26.0568,0,0,0,1,1,0,0,0,0,0,1,0,1,0
218,302.376,3,0.2,22.6782,0,0,0,1,1,0,0,0,0,0,1,0,0,1
219,5.584,2,0.2,1.8148,1,0,0,0,1,0,0,0,1,0,0,0,1,0
220,22.704,6,0.2,8.2302,1,0,0,0,1,0,0,0,1,0,0,0,1,0
221,19.776,4,0.7,-13.8432,1,0,0,0,1,0,0,0,1,0,0,0,1,0
222,72.704,4,0.2,19.0848,1,0,0,0,1,0,0,0,1,0,0,1,0,0
223,479.988,4,0.7,-383.9904,1,0,0,0,1,0,0,0,1,0,0,0,0,1
224,27.168,2,0.2,2.7168,1,0,0,0,1,0,0,0,1,0,0,0,1,0
225,2.2,1,0.0,0.968,0,0,0,1,0,1,0,1,0,0,0,0,1,0
226,622.45,5,0.0,136.939,0,0,0,1,0,1,0,1,0,0,0,1,0,0
227,21.98,1,0.0,0.2198,0,0,0,1,0,1,0,1,0,0,0,0,1,0
228,161.568,2,0.2,-28.2744,0,0,0,1,1,0,0,0,0,1,0,1,0,0
229,389.696,8,0.2,43.8408,0,0,0,1,1,0,0,0,0,1,0,1,0,0
230,18.648,7,0.7,-12.432,0,0,0,1,0,1,0,0,0,1,0,0,1,0
231,233.86,2,0.45,-102.048,0,0,0,1,0,0,1,0,0,1,0,1,0,0
232,620.6145,3,0.45,-248.2458,0,0,0,1,0,0,1,0,0,1,0,1,0,0
233,5.328,2,0.7,-3.552,0,0,0,1,0,0,1,0,0,1,0,0,1,0
234,258.072,3,0.2,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
235,617.976,3,0.2,-7.7247,0,0,0,1,0,0,1,0,0,1,0,0,0,1
236,10.56,2,0.0,4.752,0,0,0,1,0,1,0,0,0,0,1,0,1,0
237,25.92,5,0.2,9.396,0,0,1,0,1,0,0,1,0,0,0,0,1,0
238,419.68,5,0.6,-356.728,0,0,1,0,1,0,0,1,0,0,0,1,0,0
239,11.688,3,0.6,-4.6752,0,0,1,0,1,0,0,1,0,0,0,1,0,0
240,31.984,2,0.2,11.1944,0,0,1,0,1,0,0,1,0,0,0,0,0,1
241,177.225,5,0.5,-120.513,0,0,1,0,1,0,0,1,0,0,0,1,0,0
242,4.044,3,0.6,-2.8308,0,0,1,0,1,0,0,1,0,0,0,1,0,0
243,7.408,2,0.2,1.2038,0,0,1,0,1,0,0,1,0,0,0,0,1,0
244,2001.86,7,0.0,580.5394,0,0,1,0,0,0,1,1,0,0,0,1,0,0
245,166.72,2,0.0,41.68,0,0,1,0,0,0,1,1,0,0,0,0,1,0
246,47.88,6,0.0,23.94,0,0,1,0,0,0,1,1,0,0,0,0,1,0
247,1503.25,5,0.0,496.0725,0,0,1,0,0,0,1,1,0,0,0,0,1,0
248,25.92,4,0.0,12.4416,0,0,1,0,0,0,1,1,0,0,0,0,1,0
249,321.568,2,0.2,28.1372,0,0,1,0,1,0,0,0,0,0,1,1,0,0
250,7.61,1,0.0,3.5767,0,0,0,1,1,0,0,0,0,0,1,0,1,0
251,3347.37,13,0.0,636.0003,0,0,0,1,1,0,0,0,0,0,1,0,0,1
252,80.58,6,0.0,22.5624,1,0,0,0,1,0,0,0,1,0,0,0,1,0
253,361.92,4,0.0,162.864,1,0,0,0,1,0,0,0,1,0,0,0,1,0
254,12.132,9,0.6,-8.4924,0,0,0,1,0,1,0,1,0,0,0,1,0,0
255,82.368,2,0.2,-19.5624,0,0,0,1,0,1,0,1,0,0,0,0,1,0
256,53.92,5,0.2,4.044,0,0,0,1,0,1,0,1,0,0,0,0,1,0
257,647.904,6,0.2,56.6916,0,0,0,1,0,1,0,1,0,0,0,0,0,1
258,20.37,3,0.0,6.9258,0,0,1,0,1,0,0,0,1,0,0,0,0,1
259,221.55,3,0.0,6.6465,0,0,1,0,1,0,0,0,1,0,0,0,1,0
260,17.52,5,0.2,6.132,0,0,1,0,1,0,0,0,1,0,0,0,1,0
261,1.624,2,0.8,-4.466,0,0,0,1,0,1,0,1,0,0,0,0,1,0
262,3059.982,3,0.4,-509.997,0,0,1,0,0,1,0,1,0,0,0,0,0,1
263,2519.958,7,0.4,-251.9958,0,0,1,0,0,1,0,1,0,0,0,0,0,1
264,328.224,4,0.2,28.7196,0,0,0,1,1,0,0,1,0,0,0,0,0,1
265,79.9,2,0.0,35.156,0,0,0,1,1,0,0,0,0,0,1,0,0,1
266,14.016,3,0.2,4.7304,0,0,0,1,0,1,0,0,0,1,0,0,1,0
267,7.56,6,0.0,0.3024,0,0,0,1,1,0,0,0,1,0,0,0,1,0
268,37.208,1,0.2,-7.4416,0,0,0,1,0,1,0,0,1,0,0,0,1,0
269,57.576,3,0.2,21.591,0,0,0,1,0,1,0,0,1,0,0,0,1,0
270,725.84,4,0.0,210.4936,0,0,1,0,0,1,0,0,0,0,1,0,1,0
271,209.93,7,0.0,92.3692,1,0,0,0,1,0,0,0,0,0,1,0,0,1
272,5.28,3,0.0,2.3232,1,0,0,0,1,0,0,0,0,0,1,1,0,0
273,10.92,3,0.2,4.095,1,0,0,0,1,0,0,0,0,0,1,0,1,0
274,8.82,2,0.0,4.0572,1,0,0,0,0,1,0,0,0,0,1,0,1,0
275,5.98,1,0.0,1.5548,1,0,0,0,0,1,0,0,0,0,1,0,1,0
276,11.648,2,0.2,4.0768,0,0,0,1,0,1,0,0,1,0,0,0,1,0
277,18.176,4,0.2,5.9072,0,0,0,1,0,1,0,0,1,0,0,0,1,0
278,59.712,6,0.2,5.9712,0,0,0,1,0,1,0,0,1,0,0,0,1,0
279,24.84,3,0.2,8.694,0,0,0,1,0,1,0,0,1,0,0,0,1,0
280,2.08,5,0.8,-3.432,0,0,1,0,1,0,0,1,0,0,0,0,1,0
281,1114.4,7,0.2,376.11,0,0,1,0,1,0,0,1,0,0,0,0,0,1
282,1038.84,5,0.2,51.942,0,0,0,1,1,0,0,0,0,0,1,1,0,0
283,141.76,5,0.2,47.844,0,0,0,1,1,0,0,0,0,0,1,0,1,0
284,239.8,5,0.2,47.96,0,0,0,1,1,0,0,0,0,0,1,0,0,1
285,31.104,6,0.2,10.8864,0,0,0,1,1,0,0,0,0,0,1,0,1,0
286,254.058,7,0.7,-169.372,0,0,1,0,0,1,0,0,0,1,0,0,1,0
287,194.528,2,0.2,24.316,0,0,1,0,0,1,0,0,0,1,0,0,1,0
288,961.48,5,0.2,-204.3145,0,0,1,0,0,1,0,0,0,1,0,0,1,0
289,19.096,7,0.2,6.6836,0,0,1,0,0,0,1,0,1,0,0,0,1,0
290,18.496,8,0.2,6.2424,0,0,1,0,0,0,1,0,1,0,0,0,1,0
291,255.984,2,0.2,54.3966,0,0,1,0,0,0,1,0,1,0,0,0,0,1
292,86.97,3,0.5,-48.7032,0,0,1,0,0,0,1,0,1,0,0,1,0,0
293,300.416,8,0.2,78.8592,1,0,0,0,0,1,0,0,0,0,1,1,0,0
294,230.352,3,0.2,20.1558,1,0,0,0,0,1,0,0,0,0,1,1,0,0
295,218.352,3,0.2,-24.5646,1,0,0,0,0,1,0,0,0,0,1,1,0,0
296,78.6,5,0.7,-62.88,1,0,0,0,0,1,0,0,0,0,1,0,1,0
297,27.552,3,0.2,9.2988,1,0,0,0,0,1,0,0,0,0,1,0,1,0
298,32.4,5,0.0,15.552,0,0,0,1,0,1,0,0,1,0,0,0,1,0
299,1082.48,8,0.0,10.8248,0,0,0,1,0,1,0,0,1,0,0,0,1,0
300,56.91,3,0.0,27.3168,0,0,0,1,0,1,0,0,1,0,0,0,1,0
301,77.6,4,0.0,38.024,0,0,0,1,0,1,0,0,1,0,0,1,0,0
302,14.28,1,0.0,6.5688,0,0,0,1,0,1,0,0,1,0,0,0,1,0
303,219.075,3,0.5,-131.445,0,0,0,1,1,0,0,1,0,0,0,1,0,0
304,26.8,2,0.0,12.864,0,0,1,0,0,1,0,0,1,0,0,1,0,0
305,9.84,3,0.0,2.8536,0,0,0,1,0,1,0,1,0,0,0,0,1,0
306,45.48,3,0.0,20.9208,0,0,0,1,0,0,1,0,1,0,0,0,1,0
